file_name;relative_path;absolute_path;word_count;score_raw;score_normalized;count__agisme;count__ville amie des aines;count__vada;count__vieillissement;count__personnes agees;count__aine;count__seniors;count__retraites;count__vieillir;count__retraite;count__age;count__intergenerationnel;count__chez soi;count__ehpad;count__mobilite;count__hebergement;count__autonomie;count__citoyen;count__fragile;count__vulnerable;count__dependant;count__isole;count__aidant;weighted__agisme;weighted__ville amie des aines;weighted__vada;weighted__vieillissement;weighted__personnes agees;weighted__aine;weighted__seniors;weighted__retraites;weighted__vieillir;weighted__retraite;weighted__age;weighted__intergenerationnel;weighted__chez soi;weighted__ehpad;weighted__mobilite;weighted__hebergement;weighted__autonomie;weighted__citoyen;weighted__fragile;weighted__vulnerable;weighted__dependant;weighted__isole;weighted__aidant;title_bonus__agisme;title_bonus__ville amie des aines;title_bonus__vada;title_bonus__vieillissement;title_bonus__personnes agees;title_bonus__aine;title_bonus__seniors;title_bonus__retraites;title_bonus__vieillir;title_bonus__retraite;title_bonus__age;title_bonus__intergenerationnel;title_bonus__chez soi;title_bonus__ehpad;title_bonus__mobilite;title_bonus__hebergement;title_bonus__autonomie;title_bonus__citoyen;title_bonus__fragile;title_bonus__vulnerable;title_bonus__dependant;title_bonus__isole;title_bonus__aidant
Les_bulles_de_repit_pour_les_aidants.txt;Database\Vada_database\Les_bulles_de_repit_pour_les_aidants.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Vada_database\Les_bulles_de_repit_pour_les_aidants.txt;938;4;0.00426439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Projet_dhabitat_participatif_Soleil_Levant.txt;Database\Vada_database\Projet_dhabitat_participatif_Soleil_Levant.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Vada_database\Projet_dhabitat_participatif_Soleil_Levant.txt;1037;5;0.00482160;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
La Maison des aidants une plateforme pour prévenir l'isolement et l'épuisement des aidants familiaux.txt;Database\FdF_database\La Maison des aidants une plateforme pour prévenir l'isolement et l'épuisement des aidants familiaux.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\FdF_database\La Maison des aidants une plateforme pour prévenir l'isolement et l'épuisement des aidants familiaux.txt;1711;9;0.00526008;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
Forum_habitat.txt;Database\Vada_database\Forum_habitat.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Vada_database\Forum_habitat.txt;564;3;0.00531915;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Disco_party.txt;Database\Vada_database\Disco_party.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Vada_database\Disco_party.txt;734;4;0.00544959;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DIEPPE_La_belle_entricotee.txt;Database\Vada_database\DIEPPE_La_belle_entricotee.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Vada_database\DIEPPE_La_belle_entricotee.txt;889;5;0.00562430;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ehpad aider les soignants à prendre soin d'eux.txt;Database\FdF_database\Ehpad aider les soignants à prendre soin d'eux.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\FdF_database\Ehpad aider les soignants à prendre soin d'eux.txt;2257;13;0.00575986;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
20_DE_CO-FINANCEMENT_A_VEC_LA_CFPPA_DE_MEURTHE-ET-.txt;Database\Cnav_database\20_DE_CO-FINANCEMENT_A_VEC_LA_CFPPA_DE_MEURTHE-ET-.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Cnav_database\20_DE_CO-FINANCEMENT_A_VEC_LA_CFPPA_DE_MEURTHE-ET-.txt;480;3;0.00625000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alzheimer habiter ensemble et autrement avec la Maison des cultures.txt;Database\FdF_database\Alzheimer habiter ensemble et autrement avec la Maison des cultures.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\FdF_database\Alzheimer habiter ensemble et autrement avec la Maison des cultures.txt;1919;12;0.00625326;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Du_sport_sur_ordonnance_a_Libourne.txt;Database\Vada_database\Du_sport_sur_ordonnance_a_Libourne.txt;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\Vada_database\Du_sport_sur_ordonnance_a_Libourne.txt;947;6;0.00633580;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
