status;title;url;programme;appel;annee;etat;duree;subvention;financeurs;disciplines;path
rejected;Robots sociaux et prise en charge de la dépendance : enjeux méthodologiques, sanitaires et sociaux;https://iresp.net/projets_finances/15205/;Services, interventions et politiques favorables à la santé;Général - volet Recherche sur les services de santé;2018;En cours;12 mois;45 100,00 €;INSERM;Sociologie / Anthropologie / Santé publique;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\001_2018_robots_sociaux_et_prise_en_charge_de_la_dependance_enjeux_methodologiques_sanitaires_et_sociaux.txt
accepted;Accepter et résister aux aides. Avoir 75 ans et plus en ville et à la campagne;https://iresp.net/projets_finances/accepter-et-resister-aux-aides-avoir-75-ans-et-plus-en-ville-et-a-la-campagne/;Autonomie;Analyse des politiques de l’autonomie, de l’offre médico-sociale et des besoins des publics;2024;En cours;18 mois;50 000,00;CNSA;Ce projet d'amorçage vise à comprendre de quelle manière les personnes de 75 ans et plus vivant à domicile et faisant face à des limitations dans la vie quotidienne restent à l'écart des aides professionnelles auxquelles elles auraient droit.;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\001_2024_accepter_et_resister_aux_aides_avoir_75_ans_et_plus_en_ville_et_a_la_campagne.txt
rejected;Accès au soin et indifférence à l’alcool : Etude sur les perceptions, les pratiques et les comportements relatifs à la prise en charge de l’alcool auprès des personnes présentant une consommation d’alcool nocive et des médecins généralistes de ville;https://iresp.net/projets_finances/acces-au-soin-et-indifference-a-lalcool-etude-sur-les-perceptions-les-pratiques-et-les-comportements-relatifs-a-la-prise-en-charge-de-lalcool-aupres-des-personnes-presentant-une-c/;Services, interventions et politiques favorables à la santé;Général - Volet Prévention;2016;Clos;36 mois;60839;MILDECA;Santé publique;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\002_2016_acces_au_soin_et_indifference_a_l_alcool_etude_sur_les_perceptions_les_pratiques_et_les_comportements_relatifs_a_la_pris.txt
accepted;Accessibilité et Droit à l’espace public des Aînés : une entrée par la Marche;https://iresp.net/projets_finances/accessibilite-et-droit-a-lespace-public-des-aines-une-entree-par-la-marche/;Autonomie;Blanc (session 12);2021;En cours;48 mois;249 566,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\002_2021_accessibilite_et_droit_a_l_espace_public_des_aines_une_entree_par_la_marche.txt
accepted;ACCompagnants des MAlades DIagnostiqués Alzheimer;https://iresp.net/projets_finances/accompagnants-des-malades-diagnostiques-alzheimer/;Autonomie;Blanc (session 10);2019;Clos;24 mois;135 359,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\003_2019_accompagnants_des_malades_diagnostiques_alzheimer.txt
accepted;Accompagnement à l’Appropriation, l’aUtoGestion et l’édUcation théRapeutique continuE concernant la prévention secondaire du Lesé Médullaire – AUGURE-LME;https://iresp.net/projets_finances/accompagnement-a-lappropriation-lautogestion-et-leducation-therapeutique-continue-concernant-la-prevention-secondaire-du-lese-medullaire-augure-lme/;Autonomie;Blanc (session 13);2022;En cours;30 mois;203 795,00 €;CNSA;1) Médecine Physique et Réadaptation 2) Recherche qualitative sur le handicap et les pratiques éducatives 3) Education thérapeutique du patient 4) Accompagnement social 5) Partenariat patient;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\004_2022_accompagnement_a_l_appropriation_l_autogestion_et_l_education_therapeutique_continue_concernant_la_prevention_secondaire.txt
rejected;Accompagnement des médecins généralistes au bon usage des antibiotiques par une intervention de feedback sur les prescriptions d’antibiotiques;https://iresp.net/projets_finances/accompagnement-des-medecins-generalistes-au-bon-usage-des-antibiotiques-par-une-intervention-de-feedback-sur-les-prescriptions-dantibiotiques/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2022;En cours;36 mois;249 908,00 €;DGS;"Santé publique ; Evaluation intervention complexe ; Médecine générale ; Infectiologie ; Sciences Humaines et Sociales";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\003_2022_accompagnement_des_medecins_generalistes_au_bon_usage_des_antibiotiques_par_une_intervention_de_feedback_sur_les_prescri.txt
rejected;Accompagnement et soins personnalisés de la naissance en filière physiologique versus conventionnelle en France: effet sur la santé psychique des couples et la santé de la mère et de l’enfant à 2 ans;https://iresp.net/projets_finances/accompagnement-et-soins-personnalises-de-la-naissance-en-filiere-physiologique-versus-conventionnelle-en-france-effet-sur-la-sante-psychique-des-couples-et-la-sante-de-la-mere-et-de-lenfant-a-2-ans/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2024;En cours;24 mois;143 720,00;Santé Publique France;Santé Publique / Épidémiologie / Maïeutique / Psychologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\004_2024_accompagnement_et_soins_personnalises_de_la_naissance_en_filiere_physiologique_versus_conventionnelle_en_france_effet_su.txt
rejected;Accouchements moins médicalisés : attentes des usagères et pratiques dans les maternités au niveau national;https://iresp.net/projets_finances/accouchements-moins-medicalises-attentes-des-usageres-et-pratiques-dans-les-maternites-au-niveau-national/;Services, interventions et politiques favorables à la santé;Général - volet Recherche sur les services de santé;2017;Clos;36 mois;99 464,00 €;DGS;Epidémiologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\005_2017_accouchements_moins_medicalises_attentes_des_usageres_et_pratiques_dans_les_maternites_au_niveau_national.txt
rejected;Analyse Cartographique et Socio-Economique du non-accès aux Soins en Santé mentale (ACSESS);https://iresp.net/projets_finances/acsess-analyse-cartographique-et-socio-economique-du-non-acces-aux-soins-en-sante-mentale/;Services, interventions et politiques favorables à la santé;Général -Volet Recherche sur les services de santé;2017;Clos;12 mois;49773;CNAMTS;"Géographie de la santé ; Psychiatrie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\006_2017_analyse_cartographique_et_socio_economique_du_non_acces_aux_soins_en_sante_mentale_acsess.txt
rejected;Activité physique adaptée en addictologie : étude de la pratique des professionnels et de son appropriation par les usagers;https://iresp.net/projets_finances/activite-physique-adaptee-en-addictologie-etude-de-la-pratique-des-professionnels-et-de-son-appropriation-par-les-usagers/;Addictions;Substances psychoactives et comportements avec pouvoir addictif;2023;En cours;48 mois;542 705,52;Fonds de lutte contre les addictions;Sociologie / anthropologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\007_2023_activite_physique_adaptee_en_addictologie_etude_de_la_pratique_des_professionnels_et_de_son_appropriation_par_les_usager.txt
rejected;Les addictions dans la prévention secondaire des accidents vasculaires cérébraux (ADDICT-STROKE);https://iresp.net/projets_finances/addict-stroke-les-addictions-dans-la-prevention-secondaire-des-accidents-vasculaires-cerebraux/;Addictions;Lutter contre les usages et les addictions aux substances psychoactives;2022;En cours;48 mois;488 734;Fonds de Lutte Contre les Addictions;Epidémiologie clinique, Psychiatrie, Neurologie, Addictologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\008_2022_les_addictions_dans_la_prevention_secondaire_des_accidents_vasculaires_cerebraux_addict_stroke.txt
rejected;ADdictions et Dépression dans la cohorte ConsTances – ADDICT;https://iresp.net/projets_finances/addictions-and-depression-in-the-constances-cohort/;Services, interventions et politiques favorables à la santé;Général - Volet Prévention;2017;Clos;24 mois;84 979,50;MILDECA;"Psychiatrie ; Addictologie ; Epidémiologie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\009_2017_addictions_et_depression_dans_la_cohorte_constances_addict.txt
rejected;Addictions et Soins primaires : constitution d’un réseau pluridisciplinaire et d’une branche addictologie pour l’entrepôt de données P4DP;https://iresp.net/projets_finances/addictions-et-soins-primaires-constitution-dun-reseau-pluridisciplinaire-et-dune-branche-addictologie-pour-lentrepot-de-donnees-p4dp/;Addictions;Appel à actions structurantes - Recherche sur les conduites addictives (avec ou sans substances);2024;En cours;36 mois;297 471,00;Fonds de lutte contre les addictions;Soins primaires, Médecine générale, Addictologie, Sciences sociales, Psychologie, Travail Social;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\010_2024_addictions_et_soins_primaires_constitution_d_un_reseau_pluridisciplinaire_et_d_une_branche_addictologie_pour_l_entrepot_.txt
rejected;ADELY – Traitement de la dépendance à l’alcool avec l’acide lysergique diéthylamide : approche translationnelle et étude clinique d’efficacité;https://iresp.net/projets_finances/adely-traitement-de-la-dependance-a-lalcool-avec-lacide-lysergique-diethylamide-approche-translationnelle-et-etude-clinique-defficacite/;Addictions;Lutter contre les usages de substances psychoactives et les addictions;2021;En cours;48 mois;1 193 440;Fonds de Lutte Contre les Addictions;"Psychiatrie ; Addictologie ; Neurosciences";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\011_2021_adely_traitement_de_la_dependance_a_l_alcool_avec_l_acide_lysergique_diethylamide_approche_translationnelle_et_etude_cli.txt
rejected;Agir sur l’axe vagal intestin-cerveau pour contrecarrer les dysfonctionnements de la récompense associés aux drogues d’abus.;https://iresp.net/projets_finances/agir-sur-laxe-vagal-intestin-cerveau-pour-contrecarrer-les-dysfonctionnements-de-la-recompense-associes-aux-drogues-dabus/;Addictions;Substances psychoactives et comportements avec pouvoir addictif;2023;En cours;24 mois;149 973,12;Fonds de lutte contre les addictions;Neurosciences/Physiologie Intégrative/Pharmacologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\012_2023_agir_sur_l_axe_vagal_intestin_cerveau_pour_contrecarrer_les_dysfonctionnements_de_la_recompense_associes_aux_drogues_d_a.txt
rejected;Alignement du sommeil et de la prise alimentaire sur les rythmes circadiens pour une santé métabolique et mentale optimale chez les adolescents avec obésité;https://iresp.net/projets_finances/alignement-du-sommeil-et-de-la-prise-alimentaire-sur-les-rythmes-circadiens-pour-une-sante-metabolique-et-mentale-optimale-chez-les-adolescents-avec-obesite/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2024;En cours;36 mois;248 713,00;Santé Publique France;Endocrinologie / Chronobiologie / Psychologie / Neurosciences / Cognition;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\013_2024_alignement_du_sommeil_et_de_la_prise_alimentaire_sur_les_rythmes_circadiens_pour_une_sante_metabolique_et_mentale_optima.txt
rejected;Alimentation consciente: adaptation d’outils observationnels et interventionnels aux populations françaises générales et vulnérables;https://iresp.net/projets_finances/alimentation-consciente-adaptation-doutils-observationnels-et-interventionnels-aux-populations-francaises-generales-et-vulnerables/;Services, interventions et politiques favorables à la santé;Recherche en santé publique;2020;En cours;36 mois;191 081,00 €;DGS;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\014_2020_alimentation_consciente_adaptation_d_outils_observationnels_et_interventionnels_aux_populations_francaises_generales_et_.txt
rejected;ALLIANCE pour la santé : une recherche interventionnelle développant des environnements favorables à la santé autour des élèves des écoles primaires – Véronique REGNIER DENOIS;https://iresp.net/projets_finances/alliance-pour-la-sante-une-recherche-interventionnelle-developpant-des-environnements-favorables-a-la-sante-autour-des-eleves-des-ecoles-primaires/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2021;Clos;24 mois;319 458,00 €;DGS;Educational sciences/ Public Health/ Sociology;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\015_2021_alliance_pour_la_sante_une_recherche_interventionnelle_developpant_des_environnements_favorables_a_la_sante_autour_des_e.txt
accepted;Amélioration du parcours d’appropriation des dispositifs prothétiques : usages des personnes amputées appareillées, pratiques des soignants et savoirs expérientiels;https://iresp.net/projets_finances/amelioration-du-parcours-dappropriation-des-dispositifs-prothetiques-usages-des-personnes-amputees-appareillees-pratiques-des-soignants-et-savoirs-experientiels/;Autonomie;Blanc (session 10);2019;Clos;36 mois;149 836,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\005_2019_amelioration_du_parcours_d_appropriation_des_dispositifs_prothetiques_usages_des_personnes_amputees_appareillees_pratiqu.txt
rejected;Améliorer les résultats de la greffe pulmonaire;https://iresp.net/projets_finances/ameliorer-les-resultats-de-la-greffe-pulmonaire/;MESSIDORE;Méthodologie des essais cliniques innovants, dispositifs, outils et recherches exploitant les données de santé et biobanques;2024;En cours;48 mois;1 064 279,00;INSERM;Pneumologie/ Immunologie / Biologie / Intelligence artificielle / / Bioinformatique;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\016_2024_ameliorer_les_resultats_de_la_greffe_pulmonaire.txt
rejected;Analyse de la Prévalence des Violences Subies ou Commises par des Patients Souffrant d’Addiction pris en charge dans une structure de soin;https://iresp.net/projets_finances/analyse-de-la-prevalence-des-violences-subies-ou-commises-par-des-patients-souffrant-daddiction-pris-en-charge-dans-une-structure-de-soin/;Addictions;Lutter contre les usages de substances psychoactives et les addictions;2021;En cours;18 mois;50 917;Fonds de Lutte Contre les Addictions;Addictologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\017_2021_analyse_de_la_prevalence_des_violences_subies_ou_commises_par_des_patients_souffrant_d_addiction_pris_en_charge_dans_une.txt
rejected;Analyse de l’élaboration, de la mise en œuvre et des effets de la « taxe soda » appliquée en France depuis Juillet 2018 – Françoise JABOT;https://iresp.net/projets_finances/analyse-de-lelaboration-de-la-mise-en-oeuvre-et-des-effets-de-la-taxe-soda-appliquee-en-france-depuis-juillet-2018/;Services, interventions et politiques favorables à la santé;Général - volet Prévention et promotion de la santé;2018;Clos;48 mois;348 527,00 €;Ligue contre le cancer;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\018_2018_analyse_de_l_elaboration_de_la_mise_en_uvre_et_des_effets_de_la_taxe_soda_appliquee_en_france_depuis_juillet_2018_franco.txt
rejected;Analyse des parcours de soins des sujets atteints de Maladie d’Alzheimer et syndrome apparentés (MASA) en France dans les bases de données médico-administratives de 2012 à 2017 : approche longitudinale (PATH – FRADEM);https://iresp.net/projets_finances/analyse-des-parcours-de-soins-des-sujets-atteints-de-maladie-dalzheimer-et-syndrome-apparentes-masa-en-france-dans-les-bases-de-donnees-medico-administratives-de-2012-a-2017-approche-long/;Services, interventions et politiques favorables à la santé;Général -Volet Recherche sur les services de santé;2017;En cours;18 mois;84833;CNAMTS;"Santé Publique ; Economie de la santé ; Médecine interne ; Gériatrie ; Neurologie ; Soins infirmiers";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\019_2017_analyse_des_parcours_de_soins_des_sujets_atteints_de_maladie_d_alzheimer_et_syndrome_apparentes_masa_en_france_dans_les_.txt
accepted;Analyse des parcours de vie des personnes avec TSA suivies par le dispositif SCATED en Ile-de-France depuis sa création;https://iresp.net/projets_finances/analyse-des-parcours-de-vie-des-personnes-avec-tsa-suivies-par-le-dispositif-scated-en-ile-de-france-depuis-sa-creation/;Autonomie;Autisme (session 3);2016;Clos;24 mois;140 550€;CNSA;"Psychiatrie ; Sociologie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\006_2016_analyse_des_parcours_de_vie_des_personnes_avec_tsa_suivies_par_le_dispositif_scated_en_ile_de_france_depuis_sa_creation.txt
accepted;Analyse des profils et des parcours des personnes vivants dans le grande Précarité Âgée;https://iresp.net/projets_finances/analyse-des-profils-et-des-parcours-des-personnes-vivants-dans-le-grande-precarite-agee/;Autonomie;Analyse des politiques de l’autonomie, de l’offre médico-sociale et des besoins des publics;2024;En cours;36 mois;137 925,00;CNSA;Epidémiologie, santé publique, sciences sociale;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\007_2024_analyse_des_profils_et_des_parcours_des_personnes_vivants_dans_le_grande_precarite_agee.txt
rejected;Analyses des trajectoires développementales pour prédire l’évolution des troubles psychiatriques;https://iresp.net/projets_finances/analyses-des-trajectoires-developpementales-pour-predire-levolution-des-troubles-psychiatriques/;MESSIDORE;Méthodologie des essais cliniques innovants, dispositifs, outils et recherches exploitant les données de santé et biobanques;2024;En cours;36 mois;850 973,00;INSERM;Psychiatry - Mental Health / Neurosciences / Data sciences;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\020_2024_analyses_des_trajectoires_developpementales_pour_predire_l_evolution_des_troubles_psychiatriques.txt
accepted;Analyses situées des tensions entre aides humaines et aides techniques;https://iresp.net/projets_finances/analyses-situees-des-tensions-entre-aides-humaines-et-aides-techniques/;Autonomie;Blanc (session 8);2017;Clos;18 mois;124 554,00 €;CNSA;Sociologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\008_2017_analyses_situees_des_tensions_entre_aides_humaines_et_aides_techniques.txt
rejected;Exposition au tabac in utero et trajectoires pulmonaires de l’enfance à l’âge adulte : impact sur la régénération alvéolaire (ANTETAB);https://iresp.net/projets_finances/antetab-exposition-au-tabac-in-utero-et-trajectoires-pulmonaires-de-lenfance-a-lage-adulte-impact-sur-la-regeneration-alveolaire/;Addictions;Lutter contre les usages et les addictions aux substances psychoactives;2022;En cours;36 mois;431 800;Fonds de Lutte Contre les Addictions;Médecine néonatale, Pneumologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\021_2022_exposition_au_tabac_in_utero_et_trajectoires_pulmonaires_de_l_enfance_a_l_age_adulte_impact_sur_la_regeneration_alveolai.txt
accepted;Appels d’urgence en multimodalité pour des personnes aphasiques;https://iresp.net/projets_finances/appels-durgence-en-multimodalite-pour-des-personnes-aphasiques/;Autonomie;Blanc (session 11);2020;Clos;36 mois;291 439,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\009_2020_appels_d_urgence_en_multimodalite_pour_des_personnes_aphasiques.txt
accepted;Apport des semelles connectées à l’autonomisation dans la rééducation : apprentissages, pratiques et vécus de l’utilisations d’objets connectés pour la rééducation à la marche avec prothèse par les patients amputés du membre inférieur;https://iresp.net/projets_finances/apport-des-semelles-connectees-a-lautonomisation-dans-la-reeducation-apprentissages-pratiques-et-vecus-de-lutilisations-dobjets-connectes-pour-la-reeducation-a-la-marche/;Autonomie;Blanc (session 10);2019;Clos;36 mois;149 989,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\010_2019_apport_des_semelles_connectees_a_l_autonomisation_dans_la_reeducation_apprentissages_pratiques_et_vecus_de_l_utilisation.txt
rejected;Apprendre à adapter son logement pour prévenir la chute au domicile : recherche collaborative en milieu HLM ciblant des personnes âgées concernées par la chute (EducPAlog);https://iresp.net/projets_finances/apprendre-a-adapter-son-logement-pour-prevenir-la-chute-au-domicile-recherche-collaborative-en-milieu-hlm-ciblant-des-personnes-agees-concernees-par-la-chute/;Services, interventions et politiques favorables à la santé;Général - Volet Prévention;2016;Clos;16 mois;49978;DGS;"Sciences de l’éducation ; Santé publique ; Gériatrie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\022_2016_apprendre_a_adapter_son_logement_pour_prevenir_la_chute_au_domicile_recherche_collaborative_en_milieu_hlm_ciblant_des_pe.txt
rejected;Apprendre à décider: une perspective neurocognitive chez le Rat / Noradrénaline préfrontale comme facilitateur de la flexibilité comportementale;https://iresp.net/projets_finances/apprendre-a-decider-une-perspective-neurocognitive-chez-le-rat-noradrenaline-prefrontale-comme-facilitateur-de-la-flexibilite-comportementale/;Addictions;Conduites Addictives et Drogues : Prévention, Mécanismes, Repérage et Accompagnement;2024;En cours;12 mois;50 027,00;Fonds de lutte contre les addictions;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\023_2024_apprendre_a_decider_une_perspective_neurocognitive_chez_le_rat_noradrenaline_prefrontale_comme_facilitateur_de_la_flexib.txt
rejected;Approche épistémologique et éthique de l’éducation thérapeutique dans le champ de la maladie de Parkinson : savoirs transmis, finalités, usages – (ÉTHÉ);https://iresp.net/projets_finances/approche-epistemologique-et-ethique-de-leducation-therapeutique-dans-le-champ-de-la-maladie-de-parkinson-savoirs-transmis-finalites-usages-ethe/;Services, interventions et politiques favorables à la santé;Général -Volet Recherche sur les services de santé;2017;Clos;18 mois;76520;INSERM;Philosophie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\024_2017_approche_epistemologique_et_ethique_de_l_education_therapeutique_dans_le_champ_de_la_maladie_de_parkinson_savoirs_transm.txt
rejected;Approche neuropsychologique de la pratique de jeux vidéo commerciaux : perspectives et limites;https://iresp.net/projets_finances/approche-neuropsychologique-de-la-pratique-de-jeux-video-commerciaux-perspectives-et-limites/;Addictions;Conduites Addictives et Drogues : Prévention, Mécanismes, Repérage et Accompagnement;2024;En cours;36 mois;160 384,00;Fonds de lutte contre les addictions;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\025_2024_approche_neuropsychologique_de_la_pratique_de_jeux_video_commerciaux_perspectives_et_limites.txt
rejected;Approches Efficaces d’Apprentissage Profond pour la Détection Rapide et Interprétable des Arythmies Mortelles dans les Données ECG;https://iresp.net/projets_finances/approches-efficaces-dapprentissage-profond-pour-la-detection-rapide-et-interpretable-des-arythmies-mortelles-dans-les-donnees-ecg/;MESSIDORE;Méthodologie des essais cliniques innovants, dispositifs, outils et recherches exploitant les données de santé et biobanques;2024;En cours;48 mois;1 199 253,00;INSERM;Artificial Intelligence / Cardiovascular Diseases / Electrophysiology / Health Data and Biobanks / Personalized Medicine;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\026_2024_approches_efficaces_d_apprentissage_profond_pour_la_detection_rapide_et_interpretable_des_arythmies_mortelles_dans_les_d.txt
rejected;APROCHES – Les Addictions dans le PROgramme « Un CHEz Soi d’abord »;https://iresp.net/projets_finances/aproches-les-addictions-dans-le-programme-un-chez-soi-dabord/;Services, interventions et politiques favorables à la santé;Général - Volet Prévention;2016;Clos;12 mois;99689,90;MILDECA;"Psychiatrie ; Santé publique ; Epidémiologie ; Sciences sociales ; Sociologie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\027_2016_aproches_les_addictions_dans_le_programme_un_chez_soi_d_abord.txt
rejected;Assembler, Coordonner, COmprendre, Rechercher, Débattre en soins primaires (ACCORD) – Olivier SAINT LARY;https://iresp.net/projets_finances/assembler-coordonner-comprendre-rechercher-debattre-en-soins-primaires-accord/;Services, interventions et politiques favorables à la santé;Général - volet Recherche sur les services de santé;2018;Clos;12 mois;50 000,00 €;CNAM;None;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\028_2018_assembler_coordonner_comprendre_rechercher_debattre_en_soins_primaires_accord_olivier_saint_lary.txt
accepted;Assignation à résidence. Handicaps, trajectoires résidentielles et politiques publiques – Pierre Yves Baudot;https://iresp.net/projets_finances/assignation-a-residence-handicaps-trajectoires-residentielles-et-politiques-publiques/;Autonomie;Blanc (session 11);2020;Clos;24 mois;141 825,00 €;CNSA;None;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\011_2020_assignation_a_residence_handicaps_trajectoires_residentielles_et_politiques_publiques_pierre_yves_baudot.txt
rejected;Ateliers de pratiques narratives en santé : Des leviers d’éducation en santé pour les personnes en situation d’exclusion;https://iresp.net/projets_finances/ateliers-de-pratiques-narratives-en-sante-des-leviers-deducation-en-sante-pour-les-personnes-en-situation-dexclusion/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2024;En cours;36 mois;249 495,00;Santé Publique France;Médecine / Littérature / Philosophie / Arts Visuels / Éthique;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\029_2024_ateliers_de_pratiques_narratives_en_sante_des_leviers_d_education_en_sante_pour_les_personnes_en_situation_d_exclusion.txt
accepted;Attractivité professionnelle en EHPAD : le rôle du visuel et de l’environnement.;https://iresp.net/projets_finances/attractivite-professionnelle-en-ehpad-le-role-du-visuel-et-de-lenvironnement/;Autonomie;Blanc;2024;En cours;36 mois;155 691,00;CNSA;Psychologie, Gérontologie, Sociologie, Architecture;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\012_2024_attractivite_professionnelle_en_ehpad_le_role_du_visuel_et_de_l_environnement.txt
accepted;AutiSport : Identifier les freins et les leviers sociaux à la participation sportive des personnes ayant un trouble du spectre de l’autisme lors du passage à l’âge adulte.;https://iresp.net/projets_finances/autisport-identifier-les-freins-et-les-leviers-sociaux-a-la-participation-sportive-des-personnes-ayant-un-trouble-du-spectre-de-lautisme-lors-du-passage-a-lage-adulte/;Autonomie;Autisme et Sciences Humaines et Sociales (session 3);2022;En cours;36 mois;136 190,02 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\013_2022_autisport_identifier_les_freins_et_les_leviers_sociaux_a_la_participation_sportive_des_personnes_ayant_un_trouble_du_spe.txt
accepted;Autonomie du sujet âgé : Ses différents modes d’évaluation et ses relations avec la solitude.;https://iresp.net/projets_finances/autonomie-du-sujet-age-ses-differents-modes-devaluation-et-ses-relations-avec-la-solitude/;Autonomie;Dispositif Doctoral du programme Autonomie;2023;En cours;36 mois;139 776,00 €;CNSA;Psycho-épidémiologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\014_2023_autonomie_du_sujet_age_ses_differents_modes_d_evaluation_et_ses_relations_avec_la_solitude.txt
accepted;Avoir une vie « normale » dans l’expérience de la maladie chronique, du handicap et du vieillissement : épreuve personnelle, enjeu social et clinique (NORMAVI);https://iresp.net/projets_finances/avoir-une-vie-normale-dans-lexperience-de-la-maladie-chronique-du-handicap-et-du-vieillissement-epreuve-personnelle-enjeu-social-et-clinique-normavi/;Autonomie;Blanc (session 8);2017;Clos;12 mois;34500€;CNSA;Philosophie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\015_2017_avoir_une_vie_normale_dans_l_experience_de_la_maladie_chronique_du_handicap_et_du_vieillissement_epreuve_personnelle_enj.txt
rejected;BABET – BAclofene pour soutenir la titration des benzodiazépines dans les troubles liés à l’utilisation des benzodiazépines;https://iresp.net/projets_finances/babet-baclofene-pour-soutenir-la-titration-des-benzodiazepines-dans-les-troubles-lies-a-lutilisation-des-benzodiazepines/;Addictions;Lutter contre les usages de substances psychoactives et les addictions;2021;En cours;48 mois;415 720;Fonds de Lutte Contre les Addictions;"Addictologie ; Pharmacologie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\030_2021_babet_baclofene_pour_soutenir_la_titration_des_benzodiazepines_dans_les_troubles_lies_a_l_utilisation_des_benzodiazepine.txt
rejected;Balance bénéfice-risque des thérapies avancées dans les maladies inflammatoires chroniques intestinales : développement et validation d’un modèle basé sur plusieurs sources de données de vie réelle;https://iresp.net/projets_finances/balance-benefice-risque-des-therapies-avancees-dans-les-maladies-inflammatoires-chroniques-intestinales-developpement-et-validation-dun-modele-base-sur-plusieurs-sources-de-donnees-de-vie-r/;MESSIDORE;Méthodologie des essais cliniques innovants, dispositifs, outils et recherches exploitant les données de santé et biobanques;2023;En cours;48 mois;762 996,00 €;INSERM;Pharmaco-épidémiologie / Méthodologie / Gastro-entérologie / Intelligence artificielle;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\031_2023_balance_benefice_risque_des_therapies_avancees_dans_les_maladies_inflammatoires_chroniques_intestinales_developpement_et.txt
