status;title;url;programme;appel;annee;etat;duree;subvention;financeurs;disciplines;path
rejected;Spectre de l’Alcoolisation Fœtale : identification de marqueurs neuroanatomiques en IRM (SAFIR) – David Germanaud;https://iresp.net/projets_finances/spectre-de-lalcoolisation-foetale-identification-de-marqueurs-neuroanatomiques-en-irm-safir/;Addictions;Lutte contre les addictions aux substances psychoactives;2019;Clos;18 mois;87000;Fonds de Lutte Contre les Addictions;"Neuropsychologie ; Neurosciences du développement ; Neuropédiatrie ; Neuroimagerie computationnelle";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\242_2019_spectre_de_l_alcoolisation_f_tale_identification_de_marqueurs_neuroanatomiques_en_irm_safir_david_germanaud.txt
accepted;STIGMAPRO : Destigmatiser les pratiques professionnelles dans le handicap psychique;https://iresp.net/projets_finances/stigmapro-destigmatiser-les-pratiques-professionnelles-dans-le-handicap-psychique/;Autonomie;Blanc (session 10);2019;Clos;36 mois;124 300,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\120_2019_stigmapro_destigmatiser_les_pratiques_professionnelles_dans_le_handicap_psychique.txt
rejected;Stimulation ultrasonore transcranienne adaptative: design, calibration acoustique et dossier réglementaire;https://iresp.net/projets_finances/stimulation-ultrasonore-transcranienne-adaptative-design-calibration-acoustique-et-dossier-reglementaire/;MESSIDORE;Méthodologie des essais cliniques innovants, dispositifs, outils et recherches exploitant les données de santé et biobanques;2024;En cours;24 mois;587 745,00;INSERM;psychiatry / engineering;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\243_2024_stimulation_ultrasonore_transcranienne_adaptative_design_calibration_acoustique_et_dossier_reglementaire.txt
accepted;Stratégies Innovantes sur la Régulation du champ de la perte d’autonomie et les Conditions d’Emploi des salariés;https://iresp.net/projets_finances/strategies-innovantes-sur-la-regulation-du-champ-de-la-perte-dautonomie-et-les-conditions-demploi-des-salaries/;Autonomie;Établissements, Services et Transformation de l'Offre Médico-Sociale (session 1);2019;Clos;36 mois;149 972,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\121_2019_strategies_innovantes_sur_la_regulation_du_champ_de_la_perte_d_autonomie_et_les_conditions_d_emploi_des_salaries.txt
rejected;Stratégies locales de prévention primaire et de promotion de la santé : les contrats locaux de santé comme dispositifs de territorialisation des politiques régionales;https://iresp.net/projets_finances/strategies-locales-de-prevention-primaire-et-de-promotion-de-la-sante-les-contrats-locaux-de-sante-comme-dispositifs-de-territorialisation-des-politiques-regionales/;Services, interventions et politiques favorables à la santé;Général - Volet Prévention;2016;En cours;36 mois;200000;CNAMTS;"Santé publique ; Sociologie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\244_2016_strategies_locales_de_prevention_primaire_et_de_promotion_de_la_sante_les_contrats_locaux_de_sante_comme_dispositifs_de_.txt
rejected;Structuration et animation du Groupement d’intérêt scientifique du Réseau Français d’Excellence de Recherche sur tabac, nicotine et produits connexes (REFERtab);https://iresp.net/projets_finances/structuration-et-animation-du-groupement-dinteret-scientifique-du-reseau-francais-dexcellence-de-recherche-sur-tabac-nicotine-et-produits-connexes-refertab/;Addictions;Appel à projets de recherche et d’intervention pour réduire et lutter contre le tabagisme;2018;Clos;12 mois;50 000;Fonds de Lutte Contre le Tabac;"Santé Publique ; Sciences Sociales ; Économie de la santé ; Toxicologie ; Épidémiologie";C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\245_2018_structuration_et_animation_du_groupement_d_interet_scientifique_du_reseau_francais_d_excellence_de_recherche_sur_tabac_n.txt
accepted;Structurer une démarche de recherche citoyenne sur l’exercice des droits humains des personnes vulnérabilisées par la vieillesse, la maladie, le handicap;https://iresp.net/projets_finances/structurer-une-demarche-de-recherche-citoyenne-sur-lexercice-des-droits-humains-des-personnes-vulnerabilisees-par-la-vieillesse-la-maladie-le-handicap/;Autonomie;Soutien à la structuration de communautés mixtes de recherche (session 1);2020;En cours;48 mois;249 136,00 €;CNSA;;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\122_2020_structurer_une_demarche_de_recherche_citoyenne_sur_l_exercice_des_droits_humains_des_personnes_vulnerabilisees_par_la_vi.txt
rejected;Support par texte pour la santé mentale des pères pendant la transition vers la paternité : Projet pilote testant sa faisabilité et son acceptabilité dans le contexte français;https://iresp.net/projets_finances/support-par-texte-pour-la-sante-mentale-des-peres-pendant-la-transition-vers-la-paternite-projet-pilote-testant-sa-faisabilite-et-son-acceptabilite-dans-le-contexte-francais/;Services, interventions et politiques favorables à la santé;Services, interventions et politiques favorables à la santé;2024;En cours;18 mois;99 959,00;Santé Publique France;discipline1 : Public health and epidemiology / discipline2 : Clinical and health psychology;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\246_2024_support_par_texte_pour_la_sante_mentale_des_peres_pendant_la_transition_vers_la_paternite_projet_pilote_testant_sa_faisa.txt
rejected;Surveillance intrapartum du système nerveux autonome pour prévenir les complications néonatales;https://iresp.net/projets_finances/surveillance-intrapartum-du-systeme-nerveux-autonome-pour-prevenir-les-complications-neonatales/;MESSIDORE;Méthodologie des essais cliniques innovants, dispositifs, outils et recherches exploitant les données de santé et biobanques;2023;En cours;48 mois;723 054,00 €;INSERM;Physiological signals processing / Obstetrics / fetal physiology;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\247_2023_surveillance_intrapartum_du_systeme_nerveux_autonome_pour_prevenir_les_complications_neonatales.txt
accepted;Syndrome de Down et maladie d’Alzheimer. Les trajectoires de maladie des personnes trisomiques malades d’Alzheimer;https://iresp.net/projets_finances/syndrome-de-down-et-maladie-dalzheimer-les-trajectoires-de-maladie-des-personnes-trisomiques-malades-dalzheimer/;Autonomie;Blanc (session 8);2017;Clos;24 mois;72 234,00 €;CNSA;Sociologie;C:\Users\PC\Desktop\Project_Internship\Index_Insight\Database\iresp_autonomie_database\123_2017_syndrome_de_down_et_maladie_d_alzheimer_les_trajectoires_de_maladie_des_personnes_trisomiques_malades_d_alzheimer.txt
rejected;Synergisme des effets du harcèlement et des violences sexuelles, des dysfonctions sexuelles et des facteurs psychologiques sur les risques d’infection sexuellement transmissible chez les militaires en France;https://iresp.net/projets_finances/synergisme-des-effets-du-harcelement-et-des-violences-sexuelles-des-dysfonctions-sexuelles-et-des-facteurs-psychologiques-sur-les-risques-dinfection-sexuellement-transmissible-chez-les-milit/;Services, interventions et politiques favorables à la santé;Général - volet Prévention;2017;Clos;12 mois;56 309,00 €;DGS;Epidémiologie / Biostatistiques;C:\Users\PC\Desktop\Project_Internship\Index_Insight\temp\iresp_rejected\248_2017_synergisme_des_effets_du_harcelement_et_des_violences_sexuelles_des_dysfonctions_sexuelles_et_des_facteurs_psychologique.txt
